# server_id	appearance_id	confidence	name
# generated by harness/build_modern_ids.py - see that file for the ground-truth chain
100	100	name-verified	void
101	101	name-verified	earth
103	103	name-verified	dirt
104	104	name-verified	sand
106	106	name-verified	grass
108	108	name-verified	flowers
109	109	name-verified	flowers
194	194	name-verified	dirt
231	231	name-verified	sand
280	280	otb-only	dirt floor
293	293	name-verified	grass
294	294	name-verified	pitfall
351	351	name-verified	dirt floor
352	352	name-verified	dirt floor
353	353	name-verified	dirt floor
354	354	otb-only	muddy floor
355	355	otb-only	muddy floor
356	356	name-verified	dirt wall
357	357	name-verified	dirt wall
358	358	name-verified	dirt wall
359	359	name-verified	dirt wall
360	360	name-verified	dirt wall
361	361	name-verified	dirt wall
362	362	name-verified	dirt wall
363	363	name-verified	dirt wall
364	364	name-verified	dirt wall
365	365	name-verified	dirt wall
366	366	name-verified	dirt wall
367	367	name-verified	dirt wall
368	368	name-verified	earth ground
369	369	name-verified	trapdoor
370	370	name-verified	trapdoor
371	373	name-verified	stone wall
372	374	name-verified	stone wall
373	375	name-verified	stone wall
374	376	name-verified	stone wall
375	377	name-verified	stone wall
376	378	name-verified	stone wall
377	379	name-verified	stone wall
378	380	name-verified	stone wall
379	381	name-verified	stone wall
380	382	name-verified	stone wall
381	383	name-verified	stone wall
382	384	name-verified	stone wall
383	385	name-verified	hole
384	386	name-verified	dirt floor
385	387	name-verified	small hole
386	388	name-verified	stalagmites
387	389	name-verified	stalagmites
388	390	name-verified	lava hole
389	391	name-verified	lava hole
390	392	name-verified	stalagmites
391	393	name-verified	stalagmites
392	394	name-verified	hole
405	408	name-verified	wooden floor
406	409	name-verified	white marble floor
407	410	name-verified	black marble floor
408	411	name-verified	trapdoor
409	412	name-verified	trapdoor
410	413	name-verified	stairs
411	414	name-verified	stairs
412	415	name-verified	sandstone floor
413	416	name-verified	stone floor
414	417	name-verified	tiled floor
415	418	name-verified	stone floor
416	419	name-verified	stone tile
417	420	name-verified	stone tile
418	421	otb-only	sandy floor
419	422	name-verified	sandstone tile
420	423	name-verified	tiled floor
421	424	name-verified	sandstone floor
422	425	name-verified	sandstone floor
423	428	name-verified	stairs
424	429	name-verified	stone tile
425	430	name-verified	stone tile
426	431	name-verified	stone tile
427	432	name-verified	trapdoor
428	433	otb-only	trapdoor
429	434	otb-only	stairs
430	435	name-verified	sewer grate
431	436	name-verified	stone floor
432	437	name-verified	stairs
433	438	name-verified	stairs
434	439	name-verified	wooden floor
435	440	name-verified	wooden floor
436	441	name-verified	wooden floor
437	442	name-verified	wooden floor
438	443	name-verified	wooden floor
439	444	name-verified	wooden floor
440	445	name-verified	wooden floor
441	446	name-verified	wooden floor
442	447	name-verified	wooden floor
443	448	name-verified	wooden floor
444	449	name-verified	wooden floor
445	450	name-verified	wooden floor
446	452	name-verified	wooden floor
447	453	name-verified	wooden floor
448	454	name-verified	wooden floor
449	455	name-verified	wooden floor
450	456	name-verified	wooden floor
451	457	name-verified	wooden floor
452	458	name-verified	wooden floor
453	459	name-verified	wooden floor
454	460	name-verified	wooden floor
455	461	name-verified	wooden floor
456	462	name-verified	wooden floor
457	463	name-verified	white stone tile
458	464	name-verified	wooden floor
459	469	name-verified	stairs
460	470	otb-only	nothing special
461	475	name-verified	closed trapdoor
462	8709	name-verified	open trapdoor
463	477	name-verified	pedestal
464	478	name-verified	sandstone wall
465	479	otb-only	stone floor
466	480	name-verified	sandstone wall
467	481	otb-only	stone floor
468	593	otb-only	loose stone pile
469	594	name-verified	hole
470	595	name-verified	hole
471	596	name-verified	strange carving
472	597	name-verified	strange carving
473	598	name-verified	strange carving
474	599	name-verified	strange carving
475	601	otb-only	hole
476	600	otb-only	hole
